laptop_id,product,inches,ram,weight,price_euros,company_Acer,company_Apple,company_Asus,company_Chuwi,company_Dell,company_Fujitsu,company_Google,company_HP,company_Huawei,company_LG,company_Lenovo,company_MSI,company_Mediacom,company_Microsoft,company_Razer,company_Samsung,company_Toshiba,company_Vero,company_Xiaomi,typename_2 in 1 Convertible,typename_Gaming,typename_Netbook,typename_Notebook,typename_Ultrabook,typename_Workstation,opsys_Android,opsys_Chrome OS,opsys_Linux,opsys_Mac OS X,opsys_No OS,opsys_Windows 10,opsys_Windows 10 S,opsys_Windows 7,opsys_macOS,pix_ancho,pix_largo,touchscreen,capacidad_dd,tipo_dd_Flash Storage,tipo_dd_HDD,tipo_dd_Hybrid,tipo_dd_SSD,tipo_cpu,tipo_gpu
1104,Aspire,15.6,4,2.4,387.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1366,768,0,500.0,0,1,0,0,0,0
114,XPS,13.3,8,1.23,1379.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3200,1800,1,256.0,0,0,0,1,1,1
172,Aspire,17.3,8,3.0,854.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1920,1080,0,256.0,0,0,0,1,1,0
918,Elitebook,12.5,8,1.26,1483.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1920,1080,0,512.0,0,0,0,1,1,1
447,IdeaPad,17.3,8,2.8,519.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1600,900,0,1024.0,0,1,0,0,0,0
1150,IdeaPad,15.6,16,2.5,1099.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1920,1080,0,1024.0,0,0,1,0,1,0
63,IdeaPad,14.0,8,1.7,599.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1920,1080,0,256.0,0,0,0,1,1,1
108,Pavilion,14.0,6,1.58,659.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1920,1080,0,256.0,0,0,0,1,1,0
644,XPS,13.3,8,1.23,1869.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3200,1800,1,256.0,0,0,0,1,1,1
386,Omen,17.3,8,3.35,1191.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1920,1080,0,131072.0,0,0,0,1,1,0
